months,avg precip
2018-01-31,0.0
2018-02-28,0.0
2018-03-31,0.13703703703703704
2018-04-30,0.5782608695652174
2018-05-31,0.1111111111111111
2018-06-30,1.0703703703703704
2018-07-31,2.9050000000000002
2018-08-31,0.1782608695652174
2018-09-30,0.38636363636363635
2018-10-31,0.01904761904761905
2018-11-30,0.027999999999999997
2018-12-31,0.0
2019-01-31,0.0
2019-02-28,0.07272727272727274
2019-03-31,0.015789473684210527
2019-04-30,1.3
2019-05-31,1.288
2019-06-30,0.33448275862068966
2019-07-31,1.5413793103448277
2019-08-31,0.2894736842105263
2019-09-30,1.8241379310344827
2019-10-31,0.6653846153846155
2019-11-30,0.19523809523809527
2019-12-31,0.0
2020-01-31,0.0
2020-02-29,0.0
2020-03-31,0.37142857142857144
2020-04-30,0.04583333333333334
2020-05-31,1.1640000000000001
2020-06-30,1.1777777777777778
2020-07-31,3.243478260869565
2020-08-31,4.647619047619047
2020-09-30,1.5307692307692309
2020-10-31,0.0
2020-11-30,0.0
2020-12-31,0.0
2021-01-31,
2021-02-28,0.03025
2021-03-31,0.0365
2021-04-30,0.0016551724137931032
2021-05-31,0.021407407407407406
2021-06-30,0.02503846153846154
2021-07-31,0.10026666666666667
2021-08-31,0.0508695652173913
2021-09-30,0.007666666666666666
2021-10-31,0.026259259259259263
2021-11-30,0.020700000000000003
2021-12-31,0.0
2022-01-31,0.0
2022-02-28,0.0015
2022-03-31,0.007285714285714286
2022-04-30,0.018142857142857145
2022-05-31,0.007366666666666666
2022-06-30,0.031625
2022-07-31,0.07354545454545455
2022-08-31,0.056409090909090916
2022-09-30,0.0051333333333333335
2022-10-31,0.001896551724137931
2022-11-30,0.025249999999999998
2022-12-31,0.0
2023-01-31,0.003428571428571429
2023-02-28,0.00125
2023-03-31,0.0004
2023-04-30,0.019433333333333334
2023-05-31,0.0163
2023-06-30,0.020066666666666667
2023-07-31,0.01575
