months,avg sealevelpressur
2018-01-31,1024.35
2018-02-28,1022.4571428571428
2018-03-31,1018.7185185185185
2018-04-30,1013.5434782608696
2018-05-31,1009.074074074074
2018-06-30,1004.0777777777777
2018-07-31,1004.335
2018-08-31,1007.6739130434783
2018-09-30,1015.3818181818183
2018-10-31,1022.1571428571428
2018-11-30,1025.16
2018-12-31,1024.6166666666668
2019-01-31,1027.06
2019-02-28,1024.6363636363637
2019-03-31,1016.9052631578948
2019-04-30,1014.8839999999999
2019-05-31,1009.1439999999999
2019-06-30,1004.8965517241379
2019-07-31,1003.0620689655173
2019-08-31,1006.9473684210526
2019-09-30,1015.4689655172414
2019-10-31,1021.0192307692307
2019-11-30,1023.6428571428571
2019-12-31,1018.3
2020-01-31,1026.08
2020-02-29,1024.1571428571428
2020-03-31,1017.8
2020-04-30,1018.3166666666666
2020-05-31,1007.148
2020-06-30,1004.1481481481482
2020-07-31,1004.9826086956521
2020-08-31,1005.0952380952381
2020-09-30,1013.0538461538462
2020-10-31,1022.7615384615384
2020-11-30,1027.4555555555555
2020-12-31,1029.0
2021-01-31,
2021-02-28,1019.375
2021-03-31,1019.8366666666666
2021-04-30,1018.1103448275862
2021-05-31,1007.162962962963
2021-06-30,1004.2423076923077
2021-07-31,1004.5
2021-08-31,1007.1695652173913
2021-09-30,1012.3466666666667
2021-10-31,1024.762962962963
2021-11-30,1022.825
2021-12-31,1026.19375
2022-01-31,1024.8
2022-02-28,1022.6625
2022-03-31,1018.6321428571429
2022-04-30,1015.5535714285714
2022-05-31,1008.88
2022-06-30,1002.6666666666666
2022-07-31,1003.1636363636363
2022-08-31,1006.6
2022-09-30,1013.52
2022-10-31,1024.2379310344827
2022-11-30,1022.1833333333334
2022-12-31,1025.5666666666666
2023-01-31,1021.5285714285714
2023-02-28,1028.94375
2023-03-31,1019.44
2023-04-30,1013.7866666666666
2023-05-31,1010.3833333333333
2023-06-30,1003.9333333333333
2023-07-31,1000.8299999999999
