months,avg temp
2018-01-31,0.35
2018-02-28,1.6714285714285713
2018-03-31,8.54814814814815
2018-04-30,16.8
2018-05-31,21.96666666666667
2018-06-30,26.31851851851852
2018-07-31,28.955000000000002
2018-08-31,27.904347826086955
2018-09-30,20.804545454545455
2018-10-31,11.814285714285713
2018-11-30,4.836
2018-12-31,1.9333333333333333
2019-01-31,2.4400000000000004
2019-02-28,3.8454545454545452
2019-03-31,9.378947368421052
2019-04-30,14.112
2019-05-31,22.52
2019-06-30,26.151724137931033
2019-07-31,28.044827586206896
2019-08-31,26.031578947368423
2019-09-30,22.855172413793102
2019-10-31,13.342307692307692
2019-11-30,6.699999999999999
2019-12-31,1.5
2020-01-31,0.7
2020-02-29,2.9499999999999997
2020-03-31,8.819047619047618
2020-04-30,15.366666666666667
2020-05-31,21.276
2020-06-30,26.644444444444442
2020-07-31,27.02608695652174
2020-08-31,26.376190476190477
2020-09-30,21.35
2020-10-31,12.376923076923077
2020-11-30,5.294444444444444
2020-12-31,0.1
2021-01-31,
2021-02-28,4.05625
2021-03-31,9.2
2021-04-30,14.848275862068965
2021-05-31,20.44814814814815
2021-06-30,25.63076923076923
2021-07-31,27.006666666666668
2021-08-31,25.630434782608695
2021-09-30,22.08
2021-10-31,11.781481481481482
2021-11-30,5.445
2021-12-31,2.6375
2022-01-31,1.3
2022-02-28,3.1375
2022-03-31,7.371428571428572
2022-04-30,15.678571428571429
2022-05-31,21.196666666666665
2022-06-30,25.991666666666664
2022-07-31,28.254545454545454
2022-08-31,25.86818181818182
2022-09-30,21.94333333333333
2022-10-31,12.23103448275862
2022-11-30,6.804166666666667
2022-12-31,1.0666666666666667
2023-01-31,2.1
2023-02-28,2.09375
2023-03-31,9.68
2023-04-30,14.793333333333333
2023-05-31,21.546666666666667
2023-06-30,27.886666666666667
2023-07-31,30.195
