date,humidity
2013-01-31,63.274193548387096
2013-02-28,51.375
2013-03-31,46.722580645161294
2013-04-30,38.443333333333335
2013-05-31,47.983870967741936
2013-06-30,70.21666666666667
2013-07-31,69.6741935483871
2013-08-31,65.75483870967741
2013-09-30,66.11999999999999
2013-10-31,56.906451612903226
2013-11-30,36.88333333333333
2013-12-31,33.148387096774194
2014-01-31,39.09032258064516
2014-02-28,49.44642857142857
2014-03-31,33.306451612903224
2014-04-30,42.81333333333334
2014-05-31,43.696774193548386
2014-06-30,60.95666666666667
2014-07-31,61.806451612903224
2014-08-31,65.12258064516129
2014-09-30,70.07333333333332
2014-10-31,67.74193548387096
2014-11-30,51.60333333333333
2014-12-31,36.906451612903226
2015-01-31,43.2
2015-02-28,41.96785714285714
2015-03-31,35.08064516129032
2015-04-30,47.05
2015-05-31,45.37096774193548
2015-06-30,59.09666666666667
2015-07-31,66.98709677419355
2015-08-31,69.76774193548388
2015-09-30,72.10666666666665
2015-10-31,60.20645161290323
2015-11-30,79.76333333333334
2015-12-31,65.37096774193549
2016-01-31,42.61612903225806
2016-02-29,35.96896551724138
2016-03-31,35.88387096774194
2016-04-30,40.04333333333333
2016-05-31,46.31612903225806
2016-06-30,58.72666666666667
2016-07-31,70.38709677419355
2016-08-31,67.37096774193549
2016-09-30,67.25666666666667
2016-10-31,73.18387096774192
2016-11-30,63.31666666666667
2016-12-31,56.60967741935484
2017-01-31,50.458064516129035
2017-02-28,37.35
2017-03-31,39.6741935483871
2017-04-30,37.70333333333333
2017-05-31,42.29032258064516
2017-06-30,51.95666666666667
2017-07-31,75.8225806451613
2017-08-31,74.1774193548387
2017-09-30,65.61
2017-10-31,73.19677419354838
2017-11-30,46.769999999999996
2017-12-31,42.3258064516129
2018-01-31,35.66451612903226
2018-02-28,35.99285714285714
2018-03-31,44.40967741935484
2018-04-30,50.60666666666667
2018-05-31,50.52258064516129
2018-06-30,53.513333333333335
2018-07-31,77.3258064516129
2018-08-31,72.8741935483871
2018-09-30,58.29333333333333
2018-10-31,53.096774193548384
2018-11-30,54.85666666666667
2018-12-31,34.23225806451613
